citation,doi,PMCID,PMID,Title,Author,Belong,Abstract,Keywords
Proc Natl Acad Sci U S A. 2012 Sep 25; 109(39): 15781–15786.,10.1073/pnas.1207467109,PMC3465371,22955885,Intrinsically disordered proteins aggregate at fungal cell-to-cell channels and regulate intercellular connectivity,Julian Lai;Chuan Hock Koh;Monika Tjota;Laurent Pieuchot;Vignesh Raman;Karthik Balakrishna Chandrababu;Daiwen Yang;Limsoon Wong;Gregory Jedd,"aTemasek Life Sciences Laboratory and;bDepartment of Biological Sciences, National University of Singapore, Singapore,  117604;;cSchool of Computing, National University of Singapore, Singapore,  117417; and;dGraduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore,  117597;1To whom correspondence should be addressed. E-mail: gs.gro.llt@yrogerg.;Edited by Han A. B. Wosten, Utrecht University, Utrecht, The Netherlands, and accepted by the Editorial Board August 7, 2012 (received for review May 10, 2012);Author contributions: J.L., C.H.K., L.P., L.W., and G.J. designed research; J.L., C.H.K., M.T., L.P., V.R., K.B.C., and G.J. performed research; C.H.K. and L.W. contributed new reagents/analytic tools; J.L., D.Y., and G.J. analyzed data; and J.L. and G.J. wrote the paper.","Author contributions: J.L., C.H.K., L.P., L.W., and G.J. designed research; J.L., C.H.K., M.T., L.P., V.R., K.B.C., and G.J. performed research; C.H.K. and L.W. contributed new reagents/analytic tools; J.L., D.Y., and G.J. analyzed data; and J.L. and G.J. wrote the paper.",multicellular organization;filamentous fungus;Neurospora crassa
Curr Protein Pept Sci. 2012 Feb; 13(1): 55–75.,10.2174/138920312799277901,PMC3394175,22044150,How Random are Intrinsically Disordered Proteins? A Small Angle Scattering Perspective,Véronique Receveur-Bréchot;Dominique Durand,"1IMR-CNRS – UPR3243, 31, Chemin Joseph Aiguier, 13402 Marseille Cedex 20, France;2IBBMC, CNRS UMR 8619, Université Paris-Sud, 91405 Orsay, France;*Address correspondence to these authors at the Veronique Receveur-
Brechot, IMR-CNRS – UPR3243, 31 Chemin Joseph Aiguier, 13402 Marseille
Cedex 20, France; Tel: +33 491 16 45 01; Fax: +33 491 16 45 40; Email: rf.srm-srnc.88rfi@tohcerb.euqinorev; Dominique Durand: IBBMC,
CNRS UMR 8619, Université Paris-Sud, 91405 Orsay, France;
Tel: +33 169 15 64 21; Fax: +33 169 85 37 15;
E-mail: rf.dusp-u@dnarud.euqinimod","While the crucial role of intrinsically disordered proteins (IDPs) in the cell cycle is now recognized, deciphering their molecular mode of action at the structural level still remains highly challenging and requires a combination of many biophysical approaches. Among them, small angle X-ray scattering (SAXS) has been extremely successful in the last decade and has become an indispensable technique for addressing many of the fundamental questions regarding the activities of IDPs. After introducing some experimental issues specific to IDPs and in relation to the latest technical developments, this article presents the interest of the theory of polymer physics to evaluate the flexibility of fully disordered proteins. The different strategies to obtain 3-dimensional models of IDPs, free in solution and associated in a complex, are then reviewed. Indeed, recent computational advances have made it possible to readily extract maximum information from the scattering curve with a special emphasis on highly flexible systems, such as multidomain proteins and IDPs. Furthermore, integrated computational approaches now enable the generation of ensembles of conformers to translate the unique flexible characteristics of IDPs by taking into consideration the constraints of more and more various complementary experiment. In particular, a combination of SAXS with high-resolution techniques, such as x-ray crystallography and NMR, allows us to provide reliable models and to gain unique structural insights about the protein over multiple structural scales. The latest neutron scattering experiments also promise new advances in the study of the conformational changes of macromolecules involving more complex systems.",Denatured state;ensemble of conformations;induced folding;protein folding;random coil;small angle x-ray scattering;unstructured protein;wormlike chain.
Proc Natl Acad Sci U S A. 2012 Oct 2; 109(40): 16155-16160.,10.1073/pnas.1207719109,PMC3479594,22984159,Polymer scaling laws of unfolded and intrinsically disordered proteins quantified with single-molecule spectroscopy,Hagen Hofmann;Andrea Soranno;Alessandro Borgia;Klaus Gast;Daniel Nettels;Benjamin Schuler,"aBiochemisches Institut, Universität Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland; and ;bPhysikalische Biochemie, Universität Potsdam, 14476 Potsdam, Germany;1To whom correspondence may be addressed. E-mail: hc.hzu.coib@reluhcs or hc.hzu.coib@nnamfoh.h.;Edited by Ken A. Dill, Stony Brook University, Stony Brook, NY, and approved August 15, 2012 (received for review May 8, 2012);Author contributions: H.H. and B.S. designed research; H.H. and K.G. performed research; H.H., A.S., A.B., K.G., and D.N. contributed new reagents/analytic tools; H.H., A.S., K.G., and D.N. analyzed data; and H.H. and B.S. wrote the paper.","The dimensions of unfolded and intrinsically disordered proteins are highly dependent on their amino acid composition and solution conditions, especially salt and denaturant concentration. However, the quantitative implications of this behavior have remained unclear, largely because the effective theta-state, the central reference point for the underlying polymer collapse transition, has eluded experimental determination. Here, we used single-molecule fluorescence spectroscopy and two-focus correlation spectroscopy to determine the theta points for six different proteins. While the scaling exponents of all proteins converge to 0.62 ± 0.03 at high denaturant concentrations, as expected for a polymer in good solvent, the scaling regime in water strongly depends on sequence composition. The resulting average scaling exponent of 0.46 ± 0.05 for the four foldable protein sequences in our study suggests that the aqueous cellular milieu is close to effective theta conditions for unfolded proteins. In contrast, two intrinsically disordered proteins do not reach the Θ-point under any of our solvent conditions, which may reflect the optimization of their expanded state for the interactions with cellular partners. Sequence analyses based on our results imply that foldable sequences with more compact unfolded states are a more recent result of protein evolution.",protein folding;single-molecule FRET;coil-globule transition;polymer theory
PLoS Comput Biol. 2012 Jan; 8(1): e1002353.,10.1371/journal.pcbi.1002353,PMC3257294,22253588,"Residual Structures, Conformational Fluctuations, and Electrostatic Interactions in the Synergistic Folding of Two Intrinsically Disordered Proteins",Weihong Zhang;Debabani Ganguly;Jianhan Chen,"Department of Biochemistry, Kansas State University, Manhattan, Kansas, United States of America;Harvard University, United States of America;* E-mail: ude.usk@cnahnaij;Conceived and designed the experiments: JC WZ. Performed the experiments: JC WZ. Analyzed the data: JC DG WZ. Contributed reagents/materials/analysis tools: JC WZ. Wrote the paper: JC DG WZ.",Conceived and designed the experiments: JC WZ. Performed the experiments: JC WZ. Analyzed the data: JC DG WZ. Contributed reagents/materials/analysis tools: JC WZ. Wrote the paper: JC DG WZ.,
PLoS One. 2012; 7(11): e49876.,10.1371/journal.pone.0049876,PMC3506533,23189168,Effects of Molecular Crowding on the Dynamics of Intrinsically Disordered Proteins,Elio A. Cino;Mikko Karttunen;Wing-Yiu Choy,"
1
Department of Biochemistry, The University of Western Ontario, London, Ontario, Canada, 
;
2
Department of Chemistry, University of Waterloo, Waterloo, Ontario, Canada, 
;
Weizmann Institute of Science, Israel, 
;* E-mail: ac.owu@4yohcj;Competing Interests: The authors have declared that no competing interests exist.;Conceived and designed the experiments: WYC EAC. Performed the experiments: EAC. Analyzed the data: EAC WYC. Contributed reagents/materials/analysis tools: WYC MK. Wrote the paper: EAC MK WYC.",Conceived and designed the experiments: WYC EAC. Performed the experiments: EAC. Analyzed the data: EAC WYC. Contributed reagents/materials/analysis tools: WYC MK. Wrote the paper: EAC MK WYC.,
Biochem Soc Trans. 2012 Oct; 40(5): 969–974.,10.1042/BST20120094,PMC3502941,22988849,Regulation of protein phosphatase 1 by intrinsically disordered proteins,Meng S. Choy;Rebecca Page;Wolfgang Peti,"*Department of Molecular Pharmacology, Physiology and Biotechnology, Brown University, Providence, RI 02912, U.S.A;†Department of Molecular Biology, Cell Biology and Biochemistry, Brown University, Providence, RI 02912, U.S.A.;‡Department of Chemistry, Brown University, Providence, RI 02912, U.S.A;1To whom correspondence should be addressed (ude.nworb@iteP_gnagfloW)","PP1 (protein phosphatase 1) is an essential serine/threonine phosphatase that plays a critical role in a broad range of biological processes, from muscle contraction to memory formation. PP1 achieves its biological specificity by forming holoenzymes with more than 200 known regulatory proteins. Interestingly, most of these regulatory proteins (≥70%) belong to the class of IDPs (intrinsically disordered proteins). Thus structural studies highlighting the interaction of these IDP regulatory proteins with PP1 are an attractive model system because it allows general parameters for a group of diverse IDPs that interact with the same binding partner to be identified, while also providing fundamental insights into PP1 biology. The present review provides a brief overview of our current understanding of IDP–PP1 interactions, including the importance of pre-formed secondary and tertiary structures for PP1 binding, as well as changes of IDP dynamics upon interacting with PP1.",intrinsically disordered protein;nuclear magnetic resonance (NMR);protein phosphatase 1 (PP1);small-angle X-ray scattering (SAXS)
Biophys J. 2012 Jul 3; 103(1): 129–136.,10.1016/j.bpj.2012.05.027,PMC3388209,22828339,Dynamical Coupling of Intrinsically Disordered Proteins and Their Hydration Water: Comparison with Folded Soluble and Membrane Proteins,F.-X. Gallat;A. Laganowsky;K. Wood;F. Gabel;L. van Eijck;J. Wuttke;M. Moulin;M. Härtlein;D. Eisenberg;J.-P. Colletier;G. Zaccai;M. Weik,"†Comissariat à l'Energie Atomique, Institut de Biologie Structurale, Grenoble, France;‡Centre National de la Recherche Scientifique, Unité Mixte de Recherche 5075, Grenoble, France;§Université Joseph Fourier, Grenoble, France;¶Institut Laue-Langevin, Grenoble, France;‖Institut Laue-Langevin/European Molecular Biology Laboratory Deuteration Laboratory, Partnership for Structural Biology, Grenoble, France;∗∗European Synchrotron Radiation Facility, Grenoble, France;††Department of Energy Institute of Genomics and Proteomics, University of California, Los Angeles, California;‡‡Australian Institute Science and Technology Organisation, Menai NSW, Australia;§§Forschungszentrum Jülich, Jülich Center for Neutron Science at FRM II, Garching, Germany;M. Weik: rf.sbi@kiew ;∗Corresponding author rf.sbi@kiew","Hydration water is vital for various macromolecular biological activities, such as specific ligand recognition, enzyme activity, response to receptor binding, and energy transduction. Without hydration water, proteins would not fold correctly and would lack the conformational flexibility that animates their three-dimensional structures. Motions in globular, soluble proteins are thought to be governed to a certain extent by hydration-water dynamics, yet it is not known whether this relationship holds true for other protein classes in general and whether, in turn, the structural nature of a protein also influences water motions. Here, we provide insight into the coupling between hydration-water dynamics and atomic motions in intrinsically disordered proteins (IDP), a largely unexplored class of proteins that, in contrast to folded proteins, lack a well-defined three-dimensional structure. We investigated the human IDP tau, which is involved in the pathogenic processes accompanying Alzheimer disease. Combining neutron scattering and protein perdeuteration, we found similar atomic mean-square displacements over a large temperature range for the tau protein and its hydration water, indicating intimate coupling between them. This is in contrast to the behavior of folded proteins of similar molecular weight, such as the globular, soluble maltose-binding protein and the membrane protein bacteriorhodopsin, which display moderate to weak coupling, respectively. The extracted mean square displacements also reveal a greater motional flexibility of IDP compared with globular, folded proteins and more restricted water motions on the IDP surface. The results provide evidence that protein and hydration-water motions mutually affect and shape each other, and that there is a gradient of coupling across different protein classes that may play a functional role in macromolecular activity in a cellular context.",
Proc Natl Acad Sci U S A. 2012 Oct 30; 109(44): 17800-17806.,10.1073/pnas.1117368109,PMC3497802,22492978,Quantifying internal friction in unfolded and intrinsically disordered proteins with single-molecule spectroscopy,Andrea Soranno;Brigitte Buchli;Daniel Nettels;Ryan R. Cheng;Sonja Müller-Späth;Shawn H. Pfeil;Armin Hoffmann;Everett A. Lipman;Dmitrii E. Makarov;Benjamin Schuler,"aBiochemisches Institut, Universität Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland; ;bDepartment of Chemistry and Biochemistry and Institute for Computational Engineering and Sciences, University of Texas at Austin, Austin, Texas, 78712; and ;cDepartment of Physics, University of California, Santa Barbara, California 93106;2To whom correspondence may be addressed. E-mail: hc.hzu.coib@reluhcs or ude.saxetu.liam@vorakam.;Edited by Peter G Wolynes, University of California, San Diego, La Jolla, CA, and approved February 7, 2012 (received for review October 28, 2011);Author contributions: A.S., D.N., A.H., D.E.M., and B.S. designed research; A.S., B.B., D.N., R.R.C., and D.E.M. performed research; A.S., B.B., D.N., R.R.C., S.M.-S., S.H.P., A.H., E.A.L., and D.E.M. contributed new reagents/analytic tools; A.S., B.B., D.N., R.R.C., and D.E.M. analyzed data; and A.S., D.N., D.E.M., and B.S. wrote the paper.;1These authors contributed equally to this work.;3Current address: Physikalisch-Chemisches Institut, Universität Zürich, 8057 Zürich, Switzerland;4Current address: Pennsylvania Muscle Institute, Perlman School of Medicine at the University of Pennsylvania, Pennsylvania 19104, USA;5Current address: Department of Physics, University of Alberta, Edmonton AB T6G 2M9, Canada","Internal friction, which reflects the “roughness” of the energy landscape, plays an important role for proteins by modulating the dynamics of their folding and other conformational changes. However, the experimental quantification of internal friction and its contribution to folding dynamics has remained challenging. Here we use the combination of single-molecule Förster resonance energy transfer, nanosecond fluorescence correlation spectroscopy, and microfluidic mixing to determine the reconfiguration times of unfolded proteins and investigate the mechanisms of internal friction contributing to their dynamics. Using concepts from polymer dynamics, we determine internal friction with three complementary, largely independent, and consistent approaches as an additive contribution to the reconfiguration time of the unfolded state. We find that the magnitude of internal friction correlates with the compactness of the unfolded protein: its contribution dominates the reconfiguration time of approximately 100 ns of the compact unfolded state of a small cold shock protein under native conditions, but decreases for more expanded chains, and approaches zero both at high denaturant concentrations and in intrinsically disordered proteins that are expanded due to intramolecular charge repulsion. Our results suggest that internal friction in the unfolded state will be particularly relevant for the kinetics of proteins that fold in the microsecond range or faster. The low internal friction in expanded intrinsically disordered proteins may have implications for the dynamics of their interactions with cellular binding partners.",energetic roughness;Kramers theory;protein folding;Rouse model;single-molecule FRET
J Biomol NMR. 2012 Apr; 52(4): 329–337.,10.1007/s10858-012-9613-x,PMC3315646,22350953,High dimensional and high resolution pulse sequences for backbone resonance assignment of intrinsically disordered proteins,Anna Zawadzka-Kazimierczuk;Wiktor Koźmiński;Hana Šanderová;Libor Krásný,"1Faculty of Chemistry, University of Warsaw, Pasteura 1, 02-093 Warsaw, Poland ;2Laboratory of Molecular Genetics of Bacteria, Department of Bacteriology, Institute of Microbiology, Academy of Sciences of the Czech Republic, Vídeňská 1083, 142 20 Prague, Czech Republic ;Wiktor Koźmiński, Fax: +48-22-8225996, Email: lp.ude.wu.mehc@nimzok.;Corresponding author.","Four novel 5D (HACA(N)CONH, HNCOCACB, (HACA)CON(CA)CONH, (H)NCO(NCA)CONH), and one 6D ((H)NCO(N)CACONH) NMR pulse sequences are proposed. The new experiments employ non-uniform sampling that enables achieving high resolution in indirectly detected dimensions. The experiments facilitate resonance assignment of intrinsically disordered proteins. The novel pulse sequences were successfully tested using δ subunit (20 kDa) of Bacillus subtilis RNA polymerase that has an 81-amino acid disordered part containing various repetitive sequences.",Intrinsically disordered proteins;Non-uniform sampling;Backbone assignment;5D NMR;6D NMR
Phys Chem Chem Phys. 2012 Aug 14; 14(30): 10466–10476.,10.1039/c2cp41196b,PMC3402904,22744607,Rate constants and mechanisms of intrinsically disordered proteins binding to structured targets,Huan-Xiang Zhou;Xiaodong Pang;Cai Lu,"aDepartment of Physics and Institute of Molecular Biophysics, Florida State University, Tallahassee, FL 32306, USA;bDepartment of Polymer Science and Engineering, CAS Key Laboratory of Soft Matter Chemistry, University of Science and Technology of China, Hefei, Anhui 230026, People’s Republic of China;Corresponding author.;Huan-Xiang Zhou: ude.usf@4uohzh ","The binding of intrinsically disordered proteins (IDPs) to structured targets is gaining increasing attention. Here we review experimental and computational studies on the binding kinetics of IDPs. Experiments have yielded both the binding rate constants and the binding mechanisms, the latter via mutation and deletion studies and NMR techniques. Most computational studies have aimed at qualitative understanding of the binding rate constants or at mapping the free energy surfaces after the IDPs are engaged with their targets. The experiments and computation show that IDPs generally gain structures after they are engaged with their targets; that is, interactions with the targets facilitate the IDPs’ folding. It also seems clear that the initial contact of an IDP with the target is formed by just a segment, not the entire IDP. The docking of one segment to its sub-site followed by coalescing of other segments around the corresponding sub-sites emerges as a recurring feature in the binding of IDPs. Such a dock-and-coalesce model forms the basis for quantitative calculation of binding rate constants. For both disordered and ordered proteins, strong electrostatic attraction with their targets can enhance the binding rate constants by several orders of magnitude. There are now tremendous opportunities in narrowing the gap in our understanding of IDPs relative to ordered proteins with regard to binding kinetics.",
