citation,doi,PMCID,PMID,Title,Author,Belong,Abstract,Keywords
Int J Mol Sci. 2011; 12(5): 3205–3219.,10.3390/ijms12053205,PMC3116186,21686180,Novel Strategies for Drug Discovery Based on Intrinsically Disordered Proteins (IDPs),Jihua Wang;Zanxia Cao;Liling Zhao;Shuqiang Li,"1 Shandong Provincial Key Laboratory of Functional Macromolecular Biophysics, Dezhou 253023, China; E-Mails: nc.ude.ctsu.liam@ialiyaiq (Z.C.); nc.ude.ctsu.liam@8002llz (L.Z.);2 Department of Physics, Dezhou University, Dezhou 253023, China;3 Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA 02115, USA; E-Mail: ude.dravrah.icfd@il_gnaiquhs;*Author to whom correspondence should be addressed; E-Mail: nc.moc.oohay@hywhj; Tel.: +86-534-8985933; Fax: +86-534-8985884.","Intrinsically disordered proteins (IDPs) are proteins that usually do not adopt well-defined native structures when isolated in solution under physiological conditions. Numerous IDPs have close relationships with human diseases such as tumor, Parkinson disease, Alzheimer disease, diabetes, and so on. These disease-associated IDPs commonly play principal roles in the disease-associated protein-protein interaction networks. Most of them in the disease datasets have more interactants and hence the size of the disease-associated IDPs interaction network is simultaneously increased. For example, the tumor suppressor protein p53 is an intrinsically disordered protein and also a hub protein in the p53 interaction network; α-synuclein, an intrinsically disordered protein involved in Parkinson diseases, is also a hub of the protein network. The disease-associated IDPs may provide potential targets for drugs modulating protein-protein interaction networks. Therefore, novel strategies for drug discovery based on IDPs are in the ascendant. It is dependent on the features of IDPs to develop the novel strategies. It is found out that IDPs have unique structural features such as high flexibility and random coil-like conformations which enable them to participate in both the “one to many” and “many to one” interaction. Accordingly, in order to promote novel strategies for drug discovery, it is essential that more and more features of IDPs are revealed by experimental and computing methods.",intrinsically disordered proteins;sequence characterizations;structural characterizations;interaction networks;drug-discovery
Int J Mol Sci. 2011; 12(2): 1410–1430.,10.3390/ijms12021410,PMC3083713,21541066,Anchoring Intrinsically Disordered Proteins to Multiple Targets: Lessons from N-Terminus of the p53 Protein,Yongqi Huang;Zhirong Liu,"1 State Key Laboratory for Structural Chemistry of Unstable and Stable Species, College of Chemistry and Molecular Engineering, Peking University, Beijing 100871, China;2 Center for Theoretical Biology, Peking University, Beijing 100871, China;3 Beijing National Laboratory for Molecular Sciences, Peking University, Beijing 100871, China;*Author to whom correspondence should be addressed; E-Mail: nc.ude.ukp@gnoRihZuiL; Tel.: +86-10-62753422; Fax: +86-10-62751708.","Anchor residues, which are deeply buried upon binding, play an important role in protein–protein interactions by providing recognition specificity and facilitating the binding kinetics. Up to now, studies on anchor residues have been focused mainly on ordered proteins. In this study, we investigated anchor residues in intrinsically disordered proteins (IDPs) which are flexible in the free state. We identified the anchor residues of the N-terminus of the p53 protein (Glu17–Asn29, abbreviated as p53N) which are involved in binding with two different targets (MDM2 and Taz2), and analyzed their side chain conformations in the unbound states. The anchor residues in the unbound p53N were found to frequently sample conformations similar to those observed in the bound complexes (i.e., Phe19, Trp23, and Leu26 in the p53N-MDM2 complex, and Leu22 in the p53N-Taz2 complex). We argue that the bound-like conformations of the anchor residues in the unbound state are important for controlling the specific interactions between IDPs and their targets. Further, we propose a mechanism to account for the binding promiscuity of IDPs in terms of anchor residues and molecular recognition features (MoRFs).",anchor residue;intrinsically disordered proteins;binding promiscuity;molecular recognition features;p53;MDM2;Taz2
BMC Bioinformatics. 2011; 12: 245.,10.1186/1471-2105-12-245,PMC3212983,21682902,In-silico prediction of disorder content using hybrid sequence representation,Marcin J Mizianty;Tuo Zhang;Bin Xue;Yaoqi Zhou;A Keith Dunker;Vladimir N Uversky;Lukasz Kurgan,"1Department of Electrical and Computer Engineering, University of Alberta, Edmonton, Alberta T6G 2V4, Canada;2Institute for Intrinsically Disordered Protein Research, Center for Computational Biology and Bioinformatics, Indiana University Schools of Medicine and Informatics, Indianapolis, Indiana 46202, USA;3Indiana University School of Informatics, Indiana University-Purdue University, Indianapolis, Indiana 46202, USA;4Department of Molecular Medicine, University of South Florida, Tampa, Florida 33612, USA;5Institute for Biological Instrumentation, Russian Academy of Sciences, 142290 Pushchino, Moscow Region, Russia;Corresponding author.;Marcin J Mizianty: ac.atreblau@ytnaizim;  Tuo Zhang: moc.liamg@outhserf;  Bin Xue: ude.fsu.htlaeh@euxb;  Yaoqi Zhou: ude.iupui@uohzqy;  A Keith Dunker: ude.iupui@reknudek;  Vladimir N Uversky: ude.fsu.htlaeh@yksrevuv;  Lukasz Kurgan: ac.atreblau.ece@nagrukl ","Intrinsically disordered proteins play important roles in various cellular activities and their prevalence was implicated in a number of human diseases. The knowledge of the content of the intrinsic disorder in proteins is useful for a variety of studies including estimation of the abundance of disorder in protein families, classes, and complete proteomes, and for the analysis of disorder-related protein functions. The above investigations currently utilize the disorder content derived from the per-residue disorder predictions. We show that these predictions may over-or under-predict the overall amount of disorder, which motivates development of novel tools for direct and accurate sequence-based prediction of the disorder content.",
Protein Sci. 2011 Aug; 20(8): 1285–1297.,10.1002/pro.657,PMC3189518,21574196,Context-dependent resistance to proteolysis of intrinsically disordered proteins,Marcin J Suskiewicz;Joel L Sussman;Israel Silman;Yosef Shaul,"1Biological Chemistry Faculty, The Israel Structural Proteomics Center, Weizmann Institute of Science, Rehovot 76100, Israel;2The Department of Structural Biology, Weizmann Institute of Science, Rehovot 76100, Israel;3Neurobiology Department, Weizmann Institute of Science, Rehovot 76100, Israel;4The Department of Molecular Genetics, Weizmann Institute of Science, Rehovot 76100, Israel;*Correspondence to: Joel L. Sussman, Biological Chemistry Faculty, The Israel Structural Proteomics Center, Weizmann Institute of Science, Rehovot 76100, IsraelIsrael. E-mail: li.ca.nnamziew@namssus.leoj or Yosef Shaul, The Department of Molecular Genetics, Weizmann Institute of Science, Rehovot 76100, Israel. E-mail: li.ca.nnamziew@luahs.fesoy.;Marcin J. Suskiewicz's current address is Research Institute of Molecular Pathology (IMP), Dr. Bohrgasse 7, Vienna A-1030, Austria.","Intrinsically disordered proteins (IDPs), also known as intrinsically unstructured proteins (IUPs), lack a well-defined 3D structure in vitro and, in some cases, also in vivo. Here, we discuss the question of proteolytic sensitivity of IDPs, with a view to better explaining their in vivo characteristics. After an initial assessment of the status of IDPs in vivo, we briefly survey the intracellular proteolytic systems. Subsequently, we discuss the evidence for IDPs being inherently sensitive to proteolysis. Such sensitivity would not, however, result in enhanced degradation if the protease-sensitive sites were sequestered. Accordingly, IDP access to and degradation by the proteasome, the major proteolytic complex within eukaryotic cells, are discussed in detail. The emerging picture appears to be that IDPs are inherently sensitive to proteasomal degradation along the lines of the “degradation by default” model. However, available data sets of intracellular protein half-lives suggest that intrinsic disorder does not imply a significantly shorter half-life. We assess the power of available systemic half-life measurements, but also discuss possible mechanisms that could protect IDPs from intracellular degradation. Finally, we discuss the relevance of the proteolytic sensitivity of IDPs to their function and evolution.",intrinsically disordered proteins;IDPs;intrinsically unstructured proteins;IUPs;proteolytic sensitivity;protein half-lives;evolution
J Cell Biochem. 2011 Nov; 112(11): 3256–3267.,10.1002/jcb.23252,PMC3214731,21748782,A Majority of the Cancer/Testis Antigens are Intrinsically Disordered Proteins,Krithika Rajagopalan;Steven M. Mooney;Nehal Parekh;Robert H. Getzenberg;Prakash Kulkarni,"*Department of Urology, James Buchanan Brady Urological Institute, The Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA;‡The Sidney Kimmel Comprehensive Cancer Center, The Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA;¶Pharmacology and Molecular Sciences, The Johns Hopkins University School of Medicine, Baltimore, MD 21287, USA;†
Address for correspondence: Prakash Kulkarni, Johns Hopkins University School of Medicine, Departments of Urology and Oncology, 600 N Wolfe St, Marburg 105B, Baltimore, MD 21287, USA, P 410.502.4962, F 410.502.9336, ude.imhj@4raklukp;1These two authors made equal contributions and hence, they should both be considered as 2nd authors.","The Cancer/Testis Antigens (CTAs) are a group of heterogeneous proteins that are typically expressed in the testis but aberrantly expressed in several types of cancer. Although overexpression of CTAs is frequently associated with advanced disease and poorer prognosis, the significance of this correlation is unclear since the functions of the CTAs in the disease process remain poorly understood. Here, employing a bioinformatics approach, we show that a majority of CTAs are intrinsically disordered proteins (IDPs). IDPs are proteins that, under physiological conditions in vitro, lack rigid 3D structures either along their entire length or in localized regions. Despite the lack of structure, most IDPs can transition from disorder to order upon binding to biological targets and often promote highly promiscuous interactions. IDPs play important roles in transcriptional regulation and signaling via regulatory protein networks and are often associated with dosage sensitivity. Consistent with these observations, we find that several CTAs can bind DNA, and their forced expression appears to increase cell growth implying a potential dosage-sensitive function. Furthermore, the CTAs appear to occupy ‘hub’ positions in protein regulatory networks that typically adopt a ‘scale-free’ power law distribution. Taken together, our data provide a novel perspective on the CTAs implicating them in processing and transducing information in altered physiological states in a dosage-sensitive manner. Identifying the CTAs that occupy hub positions in protein regulatory networks would allow a better understanding of their functions as well as the development of novel therapeutics to treat cancer.",Cancer/Testis Antigens;Intrinsically Disordered Proteins;Dosage Sensitivity;Cancer
PLoS One. 2011; 6(9): e24989.,10.1371/journal.pone.0024989,PMC3174238,21949823,"Differences in the Number of Intrinsically Disordered Regions between Yeast Duplicated Proteins, and Their Relationship with Functional Divergence",Floriane Montanari;Denis C. Shields;Nora Khaldi,"
UCD Conway Institute of Biomolecular and Biomedical Research, School of Medicine and Medical Sciences, and UCD Complex and Adaptive Systems Laboratory, University College Dublin, Dublin, Republic of Ireland, 
;Tulane University Health Sciences Center, United States of America;* E-mail: ei.dcu@idlahk.aron;Conceived and designed the experiments: NK. Performed the experiments: NK FM. Analyzed the data: NK FM. Contributed reagents/materials/analysis tools: NK DCS. Wrote the paper: NK FM DCS.",Conceived and designed the experiments: NK. Performed the experiments: NK FM. Analyzed the data: NK FM. Contributed reagents/materials/analysis tools: NK DCS. Wrote the paper: NK FM DCS.,
Bioinformatics. 2011 Apr 1; 27(7): 1039–1040.,10.1093/bioinformatics/btr054,PMC3065690,21372082,ncIDP-assign: a SPARKY extension for the effective NMR assignment of intrinsically disordered proteins,Kamil Tamiola;Frans A. A. Mulder,"Department of Biophysical Chemistry, Groningen Biomolecular Sciences and Biotechnology Institute, University of Groningen, Nijenborgh 7, Groningen 9747AG, The Netherlands;*To whom correspondence should be addressed.;Associate Editor: Jonathan Wren",aChemical shift RMSD computed after removal of mean systematic offsets between the computed and experimental resonance assignments for hNLG3cyt in order to minimize chemical shift referencing errors. Root mean square difference (RMSD) values are given in ppm.,
Nucleic Acids Res. 2012 Jan; 40(Database issue): D507–D511.,10.1093/nar/gkr884,PMC3245138,22067451,IDEAL: Intrinsically Disordered proteins with Extensive Annotations and Literature,Satoshi Fukuchi;Shigetaka Sakamoto;Yukiko Nobe;Seiko D. Murakami;Takayuki Amemiya;Kazuo Hosoda;Ryotaro Koike;Hidekazu Hiroaki;Motonori Ota,"1Faculty of Engineering, Maebashi Institute of Technology, Maebashi, Gunma 371-0816, 2HOLONICS Corporation, Numazu, Shizuoka 411-0803, 3Graduate School of Information Sciences and 4Graduate School of Science, Nagoya University, Nagoya 464-8601, Japan;*To whom correspondence should be addressed. Tel/Fax: +81-27-265-7376; Email: pj.ca.ti-ihsabeam@ihcukufs;Correspondence may also be addressed to Motonori Ota. Tel/Fax: +81-52-789-4782; Email: pj.ca.u-ayogan.si@atom","IDEAL, Intrinsically Disordered proteins with Extensive Annotations and Literature (http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/), is a collection of knowledge on experimentally verified intrinsically disordered proteins. IDEAL contains manual annotations by curators on intrinsically disordered regions, interaction regions to other molecules, post-translational modification sites, references and structural domain assignments. In particular, IDEAL explicitly describes protean segments that can be transformed from a disordered state to an ordered state. Since in most cases they can act as molecular recognition elements upon binding of partner proteins, IDEAL provides a data resource for functional regions of intrinsically disordered proteins. The information in IDEAL is provided on a user-friendly graphical view and in a computer-friendly XML format.",
Mol Biol Evol. 2011 Sep; 28(9): 2513–2520.,10.1093/molbev/msr068,PMC3163433,21398349,"The Relationships Among MicroRNA Regulation, Intrinsically Disordered Regions, and Other Indicators of Protein Evolutionary Rate",Sean Chun-Chang Chen;Trees-Juen Chuang;Wen-Hsiung Li,"1Institute of BioMedical Informatics, National Yang-Ming University, Taipei, Taiwan;2Bioinformatics Program, Taiwan International Graduate Program, Institute of Information Science, Academia Sinica, Taipei 115, Taiwan;3Biodiversity Research Center, Academia Sinica, Taipei 115, Taiwan;4Genomic Research Center, Academia Sinica, Taipei 115, Taiwan;5Department of Ecology and Evolution, University of Chicago;*Corresponding author: E-mail: wt.ude.acinis@ilhw;Associate editor: Helen Piontkivska","Many indicators of protein evolutionary rate have been proposed, but some of them are interrelated. The purpose of this study is to disentangle their correlations. We assess the strength of each indicator by controlling for the other indicators under study. We find that the number of microRNA (miRNA) types that regulate a gene is the strongest rate indicator (a negative correlation), followed by disorder content (the percentage of disordered regions in a protein, a positive correlation); the strength of disorder content as a rate indicator is substantially increased after controlling for the number of miRNA types. By dividing proteins into lowly and highly intrinsically disordered proteins (L-IDPs and H-IDPs), we find that proteins interacting with more H-IDPs tend to evolve more slowly, which largely explains the previous observation of a negative correlation between the number of protein–protein interactions and evolutionary rate. Moreover, all of the indicators examined here, except for the number of miRNA types, have different strengths in L-IDPs and in H-IDPs. Finally, the number of phosphorylation sites is weakly correlated with the number of miRNA types, and its strength as a rate indicator is substantially reduced when other indicators are considered. Our study reveals the relative strength of each rate indicator and increases our understanding of protein evolution.",protein evolution;disordered proteins;microRNA regulation;protein–protein interaction;phosphorylation
Structure. 2011 Apr 13; 19(4): 566–576.,10.1016/j.str.2011.01.011,PMC3075556,21481779,Beyond the Random Coil: Stochastic Conformational Switching in Intrinsically Disordered Proteins,Ucheor B. Choi;James J. McCann;Keith R. Weninger;Mark E. Bowen,"a Department of Physics, North Carolina State University, Raleigh, NC 27695;b Department of Physiology and Biophysics, Stony Brook University, Stony Brook, NY 11794-8661;1
To whom correspondence should be addressed: ude.bsynus@newob.kram or ude.uscn@regninew_htiek","Intrinsically disordered proteins (IDPs) participate in critical cellular functions that exploit the flexibility and rapid conformational fluctuations of their native state. Limited information about the native state of IDPs can be gained by the averaging over many heterogeneous molecules that is unavoidable in ensemble approaches. We used single molecule fluorescence to characterize native state conformational dynamics in five synaptic proteins confirmed to be disordered by other techniques. For three of the proteins, SNAP-25, synaptobrevin and complexin, their conformational dynamics could be described with a simple semi-flexible polymer model. Surprisingly, two proteins, neuroligin and the NMDAR-2B glutamate receptor, were observed to stochastically switch among distinct conformational states despite the fact that they appeared intrinsically disordered by other measures. The hop-like intramolecular diffusion found in these proteins is suggested to define a class of functionality previously unrecognized for IDPs.",intrinsically disordered protein;single molecule fluorescence;Soluble NSF Attachment Protein Receptors;SNARE;SNAP-25;neuroligin;fluorescence resonance energy transfer;FRET;PSD-95
