citation,doi,PMCID,PMID,Title,Author,Belong,Abstract,Keywords
BMC Genomics. 2014; 15(1): 1100.,10.1186/1471-2164-15-1100,PMC4378006,25496281,Intrinsically disordered proteins (IDPs) in trypanosomatids,Patrícia de Cássia Ruy;Raul Torrieri;Juliano Simões Toledo;Viviane de Souza Alves;Angela Kaysel Cruz;Jeronimo Conceição Ruiz,"Informática de Biossistemas, Centro de Pesquisas René Rachou – Fundação Oswaldo Cruz (FIOCRUZ), Belo Horizonte, MG Brasil ;Faculdade de Medicina de Ribeirão Preto, Universidade de São Paulo, Ribeirão Preto, SP Brasil ;Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, MG Brasil ;Patrícia de Cássia Ruy, Email: moc.liamg@yuritap.;Contributor Information.;Corresponding author.","Proteins are composed of one or more amino acid chains and exhibit several structure levels. IDPs (intrinsically disordered proteins) represent a class of proteins that do not fold into any particular conformation and exist as dynamic ensembles in their native state. Due to their intrinsic adaptability, IDPs participate in many regulatory biological processes, including parasite immune escape. Using the information from trypanosomatids proteomes, we developed a pipeline for the identification, characterization and analysis of IDPs. The pipeline employs six disorder prediction methodologies and integrates structural and functional annotation information, subcellular location prediction and physicochemical properties. At the core of the IDP pipeline, there is a relational database that describes the protein disorder knowledge in a logically consistent manner.",Intrinsically disordered proteins (IDPs);Trypanosomatids;IDP prediction
PLoS One. 2014; 9(10): e108217.,10.1371/journal.pone.0108217,PMC4186791,25286318,The Intrinsically Disordered Regions of the Drosophila melanogaster Hox Protein Ultrabithorax Select Interacting Proteins Based on Partner Topology,"Hao-Ching Hsiao;Kim L. Gonzalez;Daniel J. Catanese, Jr.;Kristopher E. Jordy;Kathleen S. Matthews;Sarah E. Bondos","
1
Reynolds Medical Building, Department of Molecular and Cellular Medicine, Texas A&M Health Science Center, College Station, Texas, United States of America, 
;
2
Department of Biochemistry and Cell Biology, Rice University, Houston, Texas, United States of America, 
;
Weizmann Institute of Science, Israel, 
;* E-mail: ude.cshmat@sodnobes;Competing Interests: The authors have declared that no competing interests exist.;Conceived and designed the experiments: SEB KSM. Performed the experiments: HCH KLG DJC KEJ. Analyzed the data: HCH DJC KSM SEB. Contributed reagents/materials/analysis tools: KEJ. Wrote the paper: HCH KLG DJC KEJ KSM SEB.;¤Current address: Department of Molecular Virology and Microbiology, Baylor College of Medicine, Houston, Texas, United States of America",Conceived and designed the experiments: SEB KSM. Performed the experiments: HCH KLG DJC KEJ. Analyzed the data: HCH DJC KSM SEB. Contributed reagents/materials/analysis tools: KEJ. Wrote the paper: HCH KLG DJC KEJ KSM SEB.,
Autophagy. 2014 Jun 1; 10(6): 1093–1104.,10.4161/auto.28616,PMC4091170,24879155,Identification of Atg3 as an intrinsically disordered polypeptide yields insights into the molecular dynamics of autophagy-related proteins in yeast,Hana Popelka;Vladimir N Uversky;Daniel J Klionsky,"1Life Sciences Institute; University of Michigan; Ann Arbor, MI USA;2Department of Molecular Medicine and USF Health Byrd Alzheimer's Research Institute; Morsani College of Medicine; University of South Florida; Tampa, FL USA;3Institute for Biological Instrumentation; Russian Academy of Sciences; Moscow Region, Russia;*Correspondence to: Daniel J Klionsky, Email: ude.hcimu@yksnoilk","The mechanism of autophagy relies on complex cell signaling and regulatory processes. Each cell contains many proteins that lack a rigid 3-dimensional structure under physiological conditions. These dynamic proteins, called intrinsically disordered proteins (IDPs) and protein regions (IDPRs), are predominantly involved in cell signaling and regulation. Yet, very little is known about their presence among proteins of the core autophagy machinery. In this work, we characterized the autophagy protein Atg3 from yeast and human along with 2 variants to show that Atg3 is an IDPRs-containing protein and that disorder/order predicted for these proteins from their amino acid sequence corresponds to their experimental characteristics. Based on this consensus, we applied the same prediction methods to all known Atg proteins from Saccharomyces cerevisiae. The data presented here provide an insight into the structural dynamics of each Atg protein. They also show that intrinsic disorder at various levels has to be taken into consideration for about half of the Atg proteins. This work should become a useful tool that will facilitate and encourage exploration of protein intrinsic disorder in autophagy.",Atg3;autophagy;intrinsically disordered protein;stress;vacuole;yeast
Proteins. 2014 Dec; 82(12): 3373–3384.,10.1002/prot.24692,PMC4237723,25244701,Alanine and proline content modulate global sensitivity to discrete perturbations in disordered proteins,Romel B. Perez;Alexander Tischer;Matthew Auton;Steven T. Whitten,"1Department of Chemistry and Biochemistry, Texas State University, San Marcos, Texas;2Department of Internal Medicine, Division of Hematology, Mayo Clinic, Rochester, Minnesota;*To whom correspondence should be addressed: Department of Chemistry and Biochemistry, Texas State University, 601 University Drive, San Marcos, Texas 78666. Telephone: (512) 245-7893. Fax: (512) 245-2374. ude.etatsxt@nettihw.evets","Molecular transduction of biological signals is understood primarily in terms of the cooperative structural transitions of protein macromolecules, providing a mechanism through which discrete local structure perturbations affect global macromolecular properties. The recognition that proteins lacking tertiary stability, commonly referred to as intrinsically disordered proteins, mediate key signaling pathways suggests that protein structures without cooperative intramolecular interactions may also have the ability to couple local and global structure changes. Presented here are results from experiments that measured and tested the ability of disordered proteins to couple local changes in structure to global changes in structure. Using the intrinsically disordered N-terminal region of the p53 protein as an experimental model, a set of proline and alanine to glycine substitution variants were designed to modulate backbone conformational propensities without introducing non-native intramolecular interactions. The hydrodynamic radius (Rh) was used to monitor changes in global structure. Circular dichroism spectroscopy showed that the glycine substitutions decreased polyproline II (PPII) propensities relative to the wild type, as expected, and fluorescence methods indicated that substitution-induced changes in Rh were not associated with folding. The experiments showed that changes in local PPII structure cause changes in Rh that are variable and that depend on the intrinsic chain propensities of proline and alanine residues, demonstrating a mechanism for coupling local and global structure changes. Molecular simulations that model our results were used to extend the analysis to other proteins and illustrate the generality of the observed proline and alanine effects on the structures of intrinsically disordered proteins.",intrinsically disordered protein;proline;alanine;polyproline II;hydrodynamic radius
J Magn Reson. 2014 Apr; 241(100): 74–85.,10.1016/j.jmr.2013.11.011,PMC3985426,24656082,NMR contributions to structural dynamics studies of intrinsically disordered proteins☆,Robert Konrat,"Department of Structural and Computational Biology, Max F. Perutz Laboratories, University of Vienna, Campus Vienna Biocenter 5, A-1030 Vienna, Austria;Robert Konrat: ta.ca.eivinu@tarnok.trebor ;⁎Fax: +43 (0)1 4277 9522. ta.ca.eivinu@tarnok.trebor","Intrinsically disordered proteins (IDPs) are characterized by substantial conformational plasticity. Given their inherent structural flexibility X-ray crystallography is not applicable to study these proteins. In contrast, NMR spectroscopy offers unique opportunities for structural and dynamic studies of IDPs. The past two decades have witnessed significant development of NMR spectroscopy that couples advances in spin physics and chemistry with a broad range of applications. This article will summarize key advances in basic physical-chemistry and NMR methodology, outline their limitations and envision future R&D directions.",Intrinsically disordered proteins;Protein meta-structure;Structural biology;Biomolecular NMR;EPR spectroscopy;NMR spin relaxation
Chem Rev. 2014 Jul 9; 114(13): 6589–6631.,10.1021/cr400525m,PMC4095912,24773235,"Classification of Intrinsically Disordered Regions
and Proteins","Robin van der Lee;*;Marija Buljan;▲;Benjamin Lang;▲;Robert J. Weatheritt;▲;Gary W. Daughdrill;A. Keith Dunker;Monika Fuxreiter;Julian Gough;Joerg Gsponer;David
T. Jones;Philip M. Kim;Richard
W. Kriwacki;Christopher J. Oldfield;Rohit V. Pappu;Peter Tompa;Vladimir N. Uversky;Peter
E. Wright;M. Madan Babu;*","†MRC
Laboratory of Molecular Biology, Francis Crick Avenue, Cambridge CB2 0QH, United Kingdom;‡Centre
for Molecular and Biomolecular Informatics, Radboud University Medical Centre, 6500 HB Nijmegen, The
Netherlands;§Department
of Cell Biology, Microbiology, and Molecular Biology, University of South Florida, 3720 Spectrum Boulevard, Suite 321, Tampa, Florida 33612, United States;∥Department
of Biochemistry and Molecular Biology, Indiana
University School of Medicine, Indianapolis, Indiana 46202, United States;⊥MTA-DE
Momentum Laboratory of Protein Dynamics, Department of Biochemistry
and Molecular Biology, University of Debrecen, H-4032 Debrecen, Nagyerdei krt 98, Hungary;#Department
of Computer Science, University of Bristol, The Merchant Venturers Building, Bristol BS8 1UB, United Kingdom;∇Department
of Biochemistry and Molecular Biology, Centre for High-Throughput
Biology, University of British Columbia, Vancouver, British Columbia V6T 1Z4, Canada;○Bioinformatics
Group, Department of Computer Science, University
College London, London, WC1E 6BT, United Kingdom;◆Terrence Donnelly Centre for Cellular and Biomolecular Research, ¶Department of Molecular
Genetics, and ⊕Department of Computer Science, University
of Toronto, Toronto, Ontario M5S 3E1, Canada;∀Department
of Structural Biology, St. Jude Children’s
Research Hospital, Memphis, Tennessee 38105, United States;&Department
of Biomedical Engineering and Center for Biological Systems Engineering, Washington University in St. Louis, St. Louis, Missouri 63130, United States;@VIB Department
of Structural Biology, Vrije Universiteit
Brussel, Brussels, Belgium;$Institute
of Enzymology, Research Centre for Natural Sciences, Hungarian Academy of Sciences, Budapest, Hungary;%Department
of Molecular Medicine and USF Health Byrd Alzheimer’s Research
Institute, Morsani College of Medicine, University of South Florida, Tampa, Florida 33612, United States;★Institute for Biological Instrumentation,
Russian Academy of Sciences, Pushchino,
Moscow Region, Russia;□Department
of Integrative Structural and Computational Biology and Skaggs Institute
of Chemical Biology, The Scripps Research
Institute, 10550 North
Torrey Pines Road, La Jolla, California 92037, United States;*E-mail: ku.ca.mac.bml-crm@eeldvr.;*E-mail: ku.ca.mac.bml-crm@mnadam.","Over the past decade, we have observed
a massive increase in the amount of information describing protein
sequences from a variety of organisms.1,2 While this
may reflect the diversity in sequence space, and possibly also in
function space,3 a large proportion of
the sequences lacks any useful function annotation.4,5 Often
these sequences are annotated as putative or hypothetical proteins,
and for the majority their functions still remain unknown.6,7 Suggestions about potential protein function, primarily molecular
function, often come from computational analysis of their sequences.
For instance, homology detection allows for the transfer of information
from well-characterized protein segments to those with similar sequences
that lack annotation of molecular function.8−10 Other aspects
of function, such as the biological processes proteins participate
in, may come from genetic- and disease-association studies, expression
and interaction network data, and comparative genomics approaches
that investigate genomic context.11−17 Characterization of unannotated and uncharacterized protein segments
is expected to lead to the discovery of novel functions as well as
provide important insights into existing biological processes. In
addition, it is likely to shed new light on molecular mechanisms of
diseases that are not yet fully understood. Thus, uncharacterized
protein segments are likely to be a large source of functional novelty
relevant for discovering new biology.",
PLoS One. 2014; 9(3): e89781.,10.1371/journal.pone.0089781,PMC3940659,24594841,Sequence Complexity of Amyloidogenic Regions in Intrinsically Disordered Human Proteins,Swagata Das;Uttam Pal;Supriya Das;Khyati Bagga;Anupam Roy;Arpita Mrigwani;Nakul C. Maiti,"
Structural Biology and Bioinformatics Division, Council of Scientific and Industrial Research (CSIR)-Indian Institute of Chemical Biology (IICB), Kolkata, India, 
;
UMR-S665, INSERM, Université Paris Diderot, INTS, France, 
;* E-mail: ni.ser.bcii@itiamcn;Competing Interests: The authors have declared that no competing interests exist.;Conceived and designed the experiment: NCM, UP, KB, SD, SD. Performed the experiment: SD, KB, UP, SD, AM, AR. Analysed the data: SD, UP, SD, KB, AR, AM, NCM. Wrote the manuscript: SD, UP, SD, KB, AR, AM, NCM.","Conceived and designed the experiment: NCM, UP, KB, SD, SD. Performed the experiment: SD, KB, UP, SD, AM, AR. Analysed the data: SD, UP, SD, KB, AR, AM, NCM. Wrote the manuscript: SD, UP, SD, KB, AR, AM, NCM.",
Protein Sci. 2014 May; 23(5): 539–550.,10.1002/pro.2443,PMC4005706,24532081,Advantages of proteins being disordered,Zhirong Liu;Yongqi Huang,"1College of Chemistry and Molecular Engineering, Peking University, Beijing, 100871, China;2Beijing National Laboratory for Molecular Sciences (BNLMS), Peking University, Beijing, 100871, China;3State Key Laboratory for Structural Chemistry of Unstable and Stable Species, Peking University, Beijing, 100871, China;4Center for Quantitative Biology, Peking University, Beijing, 100871, China;5Department of Structural Biology, St. Jude Children's Research Hospital, Memphis, Tennessee, 38105;*Correspondence to: Zhirong Liu, College of Chemistry and Molecular Engineering, Peking University, Beijing 100871, China. E-mail: nc.ude.ukp@gnoRihZuiL;Grant sponsor: National Natural Science Foundation of China; Grant number: 20973016.","The past decade has witnessed great advances in our understanding of protein structure-function relationships in terms of the ubiquitous existence of intrinsically disordered proteins (IDPs) and intrinsically disordered regions (IDRs). The structural disorder of IDPs/IDRs enables them to play essential functions that are complementary to those of ordered proteins. In addition, IDPs/IDRs are persistent in evolution. Therefore, they are expected to possess some advantages over ordered proteins. In this review, we summarize and survey nine possible advantages of IDPs/IDRs: economizing genome/protein resources, overcoming steric restrictions in binding, achieving high specificity with low affinity, increasing binding rate, facilitating posttranslational modifications, enabling flexible linkers, preventing aggregation, providing resistance to non-native conditions, and allowing compatibility with more available sequences. Some potential advantages of IDPs/IDRs are not well understood and require both experimental and theoretical approaches to decipher. The connection with protein design is also briefly discussed.",intrinsically disordered proteins;protein function;flexibility;protein-protein interaction;molecular recognition;protein design;drug design
PLoS Comput Biol. 2014 Jun; 10(6): e1003674.,10.1371/journal.pcbi.1003674,PMC4072544,24968255,Interplay between Chaperones and Protein Disorder Promotes the Evolution of Protein Networks,Sebastian Pechmann;Judith Frydman,"Department of Biology, Stanford University, Stanford, California, United States of America;University of California San Diego, United States of America;* E-mail: ude.drofnats@nnamhcep (SP); ude.drofnats@namdyrfj (JF); The authors have declared that no competing interests exist.;Conceived and designed the experiments: SP JF. Performed the experiments: SP. Analyzed the data: SP. Contributed reagents/materials/analysis tools: SP. Wrote the paper: SP JF.",Conceived and designed the experiments: SP JF. Performed the experiments: SP. Analyzed the data: SP. Contributed reagents/materials/analysis tools: SP. Wrote the paper: SP JF.,
Chem Rev. 2014 Jul 9; 114(13): 6844–6879.,10.1021/cr400713r,PMC4100540,24830552,Pathological Unfoldomics of Uncontrolled Chaos: Intrinsically Disordered Proteins and Human Diseases,Vladimir N. Uversky;Vrushank Davé;Lilia M. Iakoucheva;Prerna Malaney;Steven J. Metallo;Ravi Ramesh Pathak;Andreas C. Joerger,"†Department of Molecular Medicine and USF Health Byrd Alzheimer’s Research Institute University of South Florida, Tampa, Florida 33612, United States;∥Department of Pathology and Cell Biology , Morsani College of Medicine, University of South Florida, Tampa, Florida 33612, United States;‡Institute for Biological Instrumentation, Russian Academy of Sciences, 142290 Pushchino, Moscow Region, Russia;§Department of Biological Sciences, Faculty of Science, King Abdulaziz University, Jeddah 22254, Saudi Arabia;⊥Department of Molecular Oncology, H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida 33612, United States;#Department of Psychiatry, University of California San Diego, La Jolla, California 92093, United States;▽Department of Chemistry, Georgetown University, Washington, District of Columbia 20057, United States;▲Medical Research Council Laboratory of Molecular Biology, Francis Crick Avenue, Cambridge CB2 0QH, United Kingdom;*Corresponding Authors Phone 1-813-974-5816; fax 1-813-974-7357; ude.fsu.htlaeh@yksrevuv.;*Phone +44-1223-267290; ku.ca.mac.bml-crm@2jca.","One of the most radical and obvious ways to generate a pathological protein is chromosomal translocation, which generates chimeric proteins by fusing segments of tw otherwise separated genes. Several forms of cancer, such as acute myelogenous leukemia (AML), acute lymphoblastic leukemia (ALL), chronic myelogenous leukemia (CML), and Ewing’s sarcoma (EWS), are caused by chromosomal translocation. Computational analysis of the 406 translocation-related human proteins revealed that these oncoproteins are significantly enriched in intrinsic disorder, with the translocation breakpoints being mostly located outside the functional domains.48 Furthermore, the vicinities of the breakpoint were shown to be even more disordered than the rest of these already highly disordered fusion proteins. These observations suggest that high levels of intrinsic disorder represent an important factor that helps fusion proteins to escape detection by cellular surveillance mechanisms that eliminate misfolded proteins and to live long enough to manifest their altered function(s).48 The authors found that these translocation-generated fusions enable long-range structural communication of remote binding and/or catalytic domains in the chimeric proteins and thereby define the acquired oncogenic functions. One of the illustrative examples of such acquired oncogenicity is the acquired intramolecular phosphorylation of the Bcr–Abl fusion protein related to CML and ALL. Here, chromosomal translocation results in fusion of a Tyr-kinase phosphorylation motif in Bcr with the Tyr-kinase domain within Abl, with disorder of the intervening region enabling intramolecular phosphorylation.48 Another mechanism is related to fusion of a dimerization/oligomerization domain with the kinase domain, generating an oligomeric hybrid protein. Subunits within such an oligomer are engaged in multiple mutual intermolecular phosphorylation reactions that promote autoactivation and generate novel binding sites for signaling proteins. Examples of this mechanism include TFG–ALK (TRK-fused gene–anaplastic lymphoma kinase fusion) related to anaplastic large-cell lymphomas,49 constitutively activated TEL–Jak2 fusion (ETS translocation variant 6–Janus tyrosine kinase 2 fusion) with kinase activity in human leukemia,50 and NPM–ALK (nucleolar phosphoprotein nucleophosmin–anaplastic lymphoma kinase fusion), the chimeric protein that is created by translocation in non-Hodgkin’s lymphoma and that requires the activation of its ALK kinase function as a result of oligomerization mediated by the NPM segment.51 Finally, chromosomal translocation can affect transcription factors, as illustrated by the EWS-ATF or EWS-Fli1 hybrids, where the DNA-binding element of transcription factors ATF1 or Fli1 is fused to the disordered transactivation domain of the EWS oncogene to generate an aberrant transcription factor related to Ewing sarcoma.35",
